File,,Product image(%Of-File),Product image(%Of-Feature),Product image(#Propagations),Filter product(%Of-File),Filter product(%Of-Feature),Filter product(#Propagations),View informations(%Of-File),View informations(%Of-Feature),View informations(#Propagations),View product(%Of-File),View product(%Of-Feature),View product(#Propagations),Customer account informations(%Of-File),Customer account informations(%Of-Feature),Customer account informations(#Propagations),Manage Cart(%Of-File),Manage Cart(%Of-Feature),Manage Cart(#Propagations),Register(%Of-File),Register(%Of-Feature),Register(#Propagations),Credit Card(%Of-File),Credit Card(%Of-Feature),Credit Card(#Propagations),Choose order modalities(%Of-File),Choose order modalities(%Of-Feature),Choose order modalities(#Propagations),Proceed payement(%Of-File),Proceed payement(%Of-Feature),Proceed payement(#Propagations),Browse Catalog(%Of-File),Browse Catalog(%Of-Feature),Browse Catalog(#Propagations),Save for later(%Of-File),Save for later(%Of-Feature),Save for later(#Propagations),Get informed(%Of-File),Get informed(%Of-Feature),Get informed(#Propagations),PayPal(%Of-File),PayPal(%Of-Feature),PayPal(#Propagations),Purchase product(%Of-File),Purchase product(%Of-Feature),Purchase product(#Propagations),Manage account as customer(%Of-File),Manage account as customer(%Of-Feature),Manage account as customer(#Propagations),Feedback(%Of-File),Feedback(%Of-Feature),Feedback(#Propagations),Get support(%Of-File),Get support(%Of-Feature),Get support(#Propagations),Share product(%Of-File),Share product(%Of-Feature),Share product(#Propagations),Product informations(%Of-File),Product informations(%Of-Feature),Product informations(#Propagations),Customer choose language(%Of-File),Customer choose language(%Of-Feature),Customer choose language(#Propagations),Browse categories(%Of-File),Browse categories(%Of-Feature),Browse categories(#Propagations),Login(%Of-File),Login(%Of-Feature),Login(#Propagations),Site(%Of-File),Site(%Of-Feature),Site(#Propagations)
DemoSite\site\src\main\java\com\community\controller\account\ChangePasswordController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\LoginController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9.090909090909092,1,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\ManageCustomerAddressesController.java,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\ManageCustomerPaymentsController.java,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\ManageWishlistController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\OrderHistoryController.java,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\RedirectController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\RegisterController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\UpdateAccountController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\cart\CartController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,16.666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
