File,,04e19c38-6cdf-4162-aad0-c4a209ccdca5(%Of-File),04e19c38-6cdf-4162-aad0-c4a209ccdca5(%Of-Feature),04e19c38-6cdf-4162-aad0-c4a209ccdca5(#Propagations),0b1c6a61-a5fb-4e76-8de2-146b5f87c11f(%Of-File),0b1c6a61-a5fb-4e76-8de2-146b5f87c11f(%Of-Feature),0b1c6a61-a5fb-4e76-8de2-146b5f87c11f(#Propagations),23c53fec-2469-456d-b5ef-4c5299e232c4(%Of-File),23c53fec-2469-456d-b5ef-4c5299e232c4(%Of-Feature),23c53fec-2469-456d-b5ef-4c5299e232c4(#Propagations),2aac7fd5-0740-465e-bd56-67536cf18625(%Of-File),2aac7fd5-0740-465e-bd56-67536cf18625(%Of-Feature),2aac7fd5-0740-465e-bd56-67536cf18625(#Propagations),38548698-4ba1-43cb-8b3d-46aa98867c32(%Of-File),38548698-4ba1-43cb-8b3d-46aa98867c32(%Of-Feature),38548698-4ba1-43cb-8b3d-46aa98867c32(#Propagations),4455a1dd-a35f-4e2f-aba9-9323ea6e092d(%Of-File),4455a1dd-a35f-4e2f-aba9-9323ea6e092d(%Of-Feature),4455a1dd-a35f-4e2f-aba9-9323ea6e092d(#Propagations),66673415-9491-4892-95c9-f6102d369f52(%Of-File),66673415-9491-4892-95c9-f6102d369f52(%Of-Feature),66673415-9491-4892-95c9-f6102d369f52(#Propagations),734cc6d5-7876-4918-864a-dcfc730d0c6e(%Of-File),734cc6d5-7876-4918-864a-dcfc730d0c6e(%Of-Feature),734cc6d5-7876-4918-864a-dcfc730d0c6e(#Propagations),7d2ffad7-ee0d-450e-985e-b5198902166b(%Of-File),7d2ffad7-ee0d-450e-985e-b5198902166b(%Of-Feature),7d2ffad7-ee0d-450e-985e-b5198902166b(#Propagations),7e588155-c430-4e8c-adb2-d46f45c6fb15(%Of-File),7e588155-c430-4e8c-adb2-d46f45c6fb15(%Of-Feature),7e588155-c430-4e8c-adb2-d46f45c6fb15(#Propagations),8618cd7a-b844-4e16-81f7-55381d77d838(%Of-File),8618cd7a-b844-4e16-81f7-55381d77d838(%Of-Feature),8618cd7a-b844-4e16-81f7-55381d77d838(#Propagations),8a6369c4-da6a-4eb3-baae-86f02164abe4(%Of-File),8a6369c4-da6a-4eb3-baae-86f02164abe4(%Of-Feature),8a6369c4-da6a-4eb3-baae-86f02164abe4(#Propagations),9912a19f-f6b1-4212-9f80-b2013c92a719(%Of-File),9912a19f-f6b1-4212-9f80-b2013c92a719(%Of-Feature),9912a19f-f6b1-4212-9f80-b2013c92a719(#Propagations),a47e9d2e-eaef-4d20-963b-c3e712405bf0(%Of-File),a47e9d2e-eaef-4d20-963b-c3e712405bf0(%Of-Feature),a47e9d2e-eaef-4d20-963b-c3e712405bf0(#Propagations),ba666d86-ddd3-46ff-9995-608c2b40ec3c(%Of-File),ba666d86-ddd3-46ff-9995-608c2b40ec3c(%Of-Feature),ba666d86-ddd3-46ff-9995-608c2b40ec3c(#Propagations),c5cedf52-6738-44c8-b3a1-b436084dc794(%Of-File),c5cedf52-6738-44c8-b3a1-b436084dc794(%Of-Feature),c5cedf52-6738-44c8-b3a1-b436084dc794(#Propagations),c7731267-0c1c-429f-ba66-a29f201c9c44(%Of-File),c7731267-0c1c-429f-ba66-a29f201c9c44(%Of-Feature),c7731267-0c1c-429f-ba66-a29f201c9c44(#Propagations),cbf33414-b421-4280-bca9-2a54c53491b7(%Of-File),cbf33414-b421-4280-bca9-2a54c53491b7(%Of-Feature),cbf33414-b421-4280-bca9-2a54c53491b7(#Propagations),d2f08e54-f111-4c04-a0bc-db732e9c48cc(%Of-File),d2f08e54-f111-4c04-a0bc-db732e9c48cc(%Of-Feature),d2f08e54-f111-4c04-a0bc-db732e9c48cc(#Propagations),de9a1df6-ae67-4d50-9823-65fd2519cc9e(%Of-File),de9a1df6-ae67-4d50-9823-65fd2519cc9e(%Of-Feature),de9a1df6-ae67-4d50-9823-65fd2519cc9e(#Propagations),e4f4f43f-0309-4571-abc5-736d6ad5847d(%Of-File),e4f4f43f-0309-4571-abc5-736d6ad5847d(%Of-Feature),e4f4f43f-0309-4571-abc5-736d6ad5847d(#Propagations),ef3bf622-4291-4f7d-94c0-1ff8a0b6a976(%Of-File),ef3bf622-4291-4f7d-94c0-1ff8a0b6a976(%Of-Feature),ef3bf622-4291-4f7d-94c0-1ff8a0b6a976(#Propagations),f44fa3e5-9111-4dbb-b3cd-8dbb97e27c24(%Of-File),f44fa3e5-9111-4dbb-b3cd-8dbb97e27c24(%Of-Feature),f44fa3e5-9111-4dbb-b3cd-8dbb97e27c24(#Propagations),fd2233fe-8b70-4ede-b67a-f6fa1367c874(%Of-File),fd2233fe-8b70-4ede-b67a-f6fa1367c874(%Of-Feature),fd2233fe-8b70-4ede-b67a-f6fa1367c874(#Propagations)
DemoSite\site\src\main\java\com\community\controller\account\ChangePasswordController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\LoginController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9.090909090909092,1,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\ManageCustomerAddressesController.java,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\ManageCustomerPaymentsController.java,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\ManageWishlistController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\OrderHistoryController.java,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\RedirectController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\RegisterController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\account\UpdateAccountController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\cart\CartController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,16.666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\catalog\CategoryController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\catalog\ProductController.java,,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\java\com\community\controller\catalog\RatingsController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
